show_id,ticket_no,film_id,film,director,director_id,genre,cinema_id,city,viewer_id,first_name,last_name,email,session,seat_no
SHOW00149,TKT0001,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C005,Dunedin,V003,Liam,Fernando,liam.fernando3@mail.com,9:45 pm,C15
SHOW00092,TKT0002,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V012,Mason,Scott,mason.scott12@mail.com,9:45 pm,E18
SHOW00104,TKT0003,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V003,Liam,Fernando,liam.fernando3@mail.com,9:45 pm,D4
SHOW00057,TKT0004,F003,Midnight Escape,David Fincher,D003,Thriller,C004,Hamilton,V010,Mia,Singh,mia.singh10@mail.com,7:30 pm,D7
SHOW00051,TKT0005,F003,Midnight Escape,David Fincher,D003,Thriller,C003,Christchurch,V059,Daniel,Lee,daniel.lee59@mail.com,10:00 am,D16
SHOW00078,TKT0006,F004,The Last Kingdom,Ridley Scott,D004,Action,C004,Hamilton,V019,Sienna,Perera,sienna.perera19@mail.com,7:30 pm,C17
SHOW00030,TKT0007,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V063,Noah,Lee,noah.lee63@mail.com,10:00 am,A19
SHOW00033,TKT0008,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V020,Liam,Taylor,liam.taylor20@mail.com,7:30 pm,C16
SHOW00052,TKT0009,F003,Midnight Escape,David Fincher,D003,Thriller,C003,Christchurch,V006,Daniel,Young,daniel.young6@mail.com,1:00 pm,G2
SHOW00077,TKT0010,F004,The Last Kingdom,Ridley Scott,D004,Action,C004,Hamilton,V004,Ruby,Roberts,ruby.roberts4@mail.com,1:00 pm,B19
SHOW00023,TKT0011,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C001,Auckland,V012,Mason,Scott,mason.scott12@mail.com,7:30 pm,A6
SHOW00155,TKT0012,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V006,Daniel,Young,daniel.young6@mail.com,1:00 pm,B19
SHOW00136,TKT0013,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C002,Wellington,V015,Jack,Scott,jack.scott15@mail.com,9:45 pm,D20
SHOW00050,TKT0014,F003,Midnight Escape,David Fincher,D003,Thriller,C002,Wellington,V045,Charlotte,Scott,charlotte.scott45@mail.com,7:30 pm,G20
SHOW00105,TKT0015,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C001,Auckland,V021,Ethan,Walker,ethan.walker21@mail.com,10:00 am,F12
SHOW00143,TKT0016,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C004,Hamilton,V006,Daniel,Young,daniel.young6@mail.com,1:00 pm,F8
SHOW00041,TKT0017,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C005,Dunedin,V054,Mia,Wilson,mia.wilson54@mail.com,9:45 pm,F20
SHOW00164,TKT0018,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V052,Liam,Scott,liam.scott52@mail.com,1:00 pm,G18
SHOW00019,TKT0019,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C005,Dunedin,V052,Liam,Scott,liam.scott52@mail.com,7:30 pm,D9
SHOW00125,TKT0020,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V035,Grace,Walker,grace.walker35@mail.com,7:30 pm,A15
SHOW00025,TKT0021,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C002,Wellington,V041,Sophia,Wilson,sophia.wilson41@mail.com,10:00 am,E2
SHOW00045,TKT0022,F003,Midnight Escape,David Fincher,D003,Thriller,C001,Auckland,V016,Sienna,Perera,sienna.perera16@mail.com,7:30 pm,D9
SHOW00032,TKT0023,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V046,Olivia,Perera,olivia.perera46@mail.com,4:00 pm,G18
SHOW00050,TKT0024,F003,Midnight Escape,David Fincher,D003,Thriller,C002,Wellington,V009,Grace,Smith,grace.smith9@mail.com,7:30 pm,B18
SHOW00166,TKT0025,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V018,Charlotte,Patel,charlotte.patel18@mail.com,7:30 pm,G9
SHOW00125,TKT0026,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V047,Mason,Roberts,mason.roberts47@mail.com,7:30 pm,B10
SHOW00130,TKT0027,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C001,Auckland,V002,Amelia,Lee,amelia.lee2@mail.com,7:30 pm,D6
SHOW00037,TKT0028,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C004,Hamilton,V065,Leo,Patel,leo.patel65@mail.com,9:45 pm,E4
SHOW00098,TKT0029,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C004,Hamilton,V009,Grace,Smith,grace.smith9@mail.com,4:00 pm,C2
SHOW00089,TKT0030,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V044,Olivia,Perera,olivia.perera44@mail.com,1:00 pm,G15
SHOW00172,TKT0031,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V014,Nathan,Young,nathan.young14@mail.com,9:45 pm,C10
SHOW00152,TKT0032,F008,Broken Paths,Sofia Coppola,D006,Drama,C001,Auckland,V043,Ruby,Young,ruby.young43@mail.com,7:30 pm,A20
SHOW00006,TKT0033,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C002,Wellington,V044,Olivia,Perera,olivia.perera44@mail.com,10:00 am,C13
SHOW00087,TKT0034,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C001,Auckland,V039,Olivia,Brown,olivia.brown39@mail.com,9:45 pm,G7
SHOW00001,TKT0035,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C001,Auckland,V008,Daniel,Scott,daniel.scott8@mail.com,10:00 am,F2
SHOW00124,TKT0036,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V009,Grace,Smith,grace.smith9@mail.com,4:00 pm,A17
SHOW00170,TKT0037,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V062,Noah,Smith,noah.smith62@mail.com,4:00 pm,G14
SHOW00168,TKT0038,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V029,Mason,Scott,mason.scott29@mail.com,10:00 am,G13
SHOW00146,TKT0039,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C005,Dunedin,V044,Olivia,Perera,olivia.perera44@mail.com,1:00 pm,G20
SHOW00043,TKT0040,F003,Midnight Escape,David Fincher,D003,Thriller,C001,Auckland,V052,Liam,Scott,liam.scott52@mail.com,1:00 pm,D11
SHOW00039,TKT0041,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C005,Dunedin,V027,Ava,Taylor,ava.taylor27@mail.com,1:00 pm,B13
SHOW00170,TKT0042,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V023,Isla,Young,isla.young23@mail.com,4:00 pm,F17
SHOW00064,TKT0043,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V048,Mason,Wilson,mason.wilson48@mail.com,1:00 pm,E20
SHOW00151,TKT0044,F008,Broken Paths,Sofia Coppola,D006,Drama,C001,Auckland,V003,Liam,Fernando,liam.fernando3@mail.com,4:00 pm,G6
